event_id,actor_id,actor_type_id,group_num,affiliation
7726852,472,6,1,primary
7716838,472,6,1,primary
7695463,472,6,1,primary
7716793,441,1,1,primary
7615496,472,6,1,primary
7615497,325,1,1,primary
7614708,472,6,1,primary
7613713,472,6,1,primary
7613400,524,3,1,primary
7613093,472,6,1,primary
7804029,472,6,1,primary
7612725,472,6,1,primary
7612669,472,6,1,primary
7612582,472,6,1,primary
7611508,472,6,1,primary
7611481,472,6,1,primary
7611297,472,6,1,primary
7611042,472,6,1,primary
7752369,472,6,1,primary
7753708,472,6,1,primary
7610470,472,6,1,primary
7610128,472,6,1,primary
7609611,472,6,1,primary
7609273,472,6,1,primary
7609274,472,6,1,primary
7609275,2,4,1,primary
7752260,472,6,1,primary
7609168,472,6,1,primary
7608798,472,6,1,primary
7608599,472,6,1,primary
7752239,472,6,1,primary
7608501,472,6,1,primary
7607456,472,6,1,primary
7607331,472,6,1,primary
7607104,472,6,1,primary
7606854,472,6,1,primary
7606646,472,6,1,primary
7606558,9,4,1,primary
7606559,417,4,1,primary
7606041,472,6,1,primary
7605897,472,6,1,primary
7605395,472,6,1,primary
7605281,9,4,1,primary
7604818,472,6,1,primary
7604494,472,6,1,primary
7603983,2,4,1,primary
7614492,472,6,1,primary
7604199,472,6,1,primary
7603985,2,4,1,primary
7604284,472,6,1,primary
8004905,472,6,1,primary
7597928,472,6,1,primary
7597929,472,6,1,primary
7609940,472,6,1,primary
7740134,472,6,1,primary
7609939,472,6,1,primary
7609938,472,6,1,primary
7597036,472,6,1,primary
7608388,552,4,1,primary
7609937,472,6,1,primary
7898860,472,6,1,primary
7609936,472,6,1,primary
7596632,472,6,1,primary
7608382,552,4,1,primary
7596312,472,6,1,primary
7609934,472,6,1,primary
7609932,472,6,1,primary
7595890,472,6,1,primary
7609930,472,6,1,primary
7609929,472,6,1,primary
7595675,472,6,1,primary
7595676,472,6,1,primary
7595631,472,6,1,primary
7594017,472,6,1,primary
7597461,496,5,1,primary
7609923,472,6,1,primary
7752725,472,6,1,primary
7609897,472,6,1,primary
7609894,472,6,1,primary
7595443,472,6,1,primary
7609893,472,6,1,primary
7595442,472,6,1,primary
7609889,472,6,1,primary
7595416,472,6,1,primary
7612345,472,6,1,primary
7609880,472,6,1,primary
7594448,472,6,1,primary
7740172,472,6,1,primary
7668693,472,6,1,primary
7594165,472,6,1,primary
7603501,472,6,1,primary
7603469,472,6,1,primary
7603126,472,6,1,primary
7602724,472,6,1,primary
7602316,472,6,1,primary
7601591,472,6,1,primary
7600845,472,6,1,primary
7599462,472,6,1,primary
7668837,472,6,1,primary
7603844,323,1,1,primary
7717279,196,1,1,primary
7603906,496,5,1,primary
7612167,524,3,1,primary
7611847,472,6,1,primary
7611668,472,6,1,primary
7740320,472,6,1,primary
7614145,472,6,1,primary
7614113,472,6,1,primary
7667593,196,1,1,primary
7616369,472,6,1,primary
7753151,472,6,1,primary
7616486,472,6,1,primary
7617168,472,6,1,primary
7617163,472,6,1,primary
7617151,472,6,1,primary
7617117,472,6,1,primary
7616828,472,6,1,primary
8005181,472,6,1,primary
8004886,472,6,1,primary
8004884,472,6,1,primary
7898508,472,6,1,primary
7814375,472,6,1,primary
7814373,472,6,1,primary
7814374,472,6,1,primary
7803664,472,6,1,primary
7803670,472,6,1,primary
7803669,472,6,1,primary
7814187,472,6,1,primary
7898812,472,6,1,primary
7789996,472,6,1,primary
7789745,472,6,1,primary
7766701,472,6,1,primary
7766982,472,6,1,primary
7766983,472,6,1,primary
7766984,472,6,1,primary
7766988,472,6,1,primary
7751962,472,6,1,primary
7751663,472,6,1,primary
7751961,472,6,1,primary
7751903,472,6,1,primary
